Kinase,Substrates in Input,Substrates in Database,Input Fraction,Database Fraction,Difference,P-value,Z-score,Combined Score,Substrates
MAPK1,43,312,0.39090909090909093,0.06882859033752482,0.3220805005715661,5.90088169299686E-21,-2.25920312084903,105.23184051088619,MAPK1;JUN;MAPK8;CREBBP;SMAD4;SMAD3;SMAD2;SMAD1;ETS1;MYC;AR;TP53;PML;BCL6;STAT1;STAT3;MAPK14;NR5A1;GATA2;CSNK2A1;RELA;RBL1;EP300;HIF1A;ARRB1;ATF2;JUND;RUNX1;SREBF1;SREBF2;HDAC4;E2F1;FOS;HSP90AA1;ESR1;RB1;ESR2;CDK2;NCOA1;CEBPA;CEBPB;SP1;SP3
MAPK3,34,251,0.3090909090909091,0.05537171850871388,0.2537191905821952,4.0345606882073244E-16,-2.223845964803472,78.82747608283776,JUN;MAPK3;MAPK8;SMAD4;SMAD2;ETS1;MYC;AR;TP53;PML;BCL3;BCL6;STAT1;STAT3;MAPK14;NR5A1;HIF1A;ARRB1;ATF2;JUND;RUNX1;SREBF1;SREBF2;HDAC4;FOS;ESR1;ESR2;CDK2;NCOA1;NFATC1;CEBPA;CEBPB;SP1;SP3
GSK3B,45,600,0.4090909090909091,0.13236267372600927,0.2767282353648999,1.4745908531228075E-12,-2.1763728981556256,59.29014457228468,CTNNB1;JUN;MAPK8;MYC;AR;TP53;SFPQ;NR5A1;CSNK2A1;RELA;RBL1;RELB;JUNB;NFE2L2;JUND;HDAC4;ABL1;E2F1;ESR1;RB1;HMGA1;NCOA1;NFATC2;CEBPA;CEBPB;CREB1;SIN3A;SMAD4;SMAD2;SMAD1;NOTCH1;ETS1;NCOR2;NFKB1;NFKB2;SQSTM1;BCL3;STAT1;STAT3;RUNX1;SREBF1;BRCA1;DNMT1;MDM2;ZBTB7A
MAPK8,27,275,0.24545454545454545,0.06066622545775425,0.1847883199967912,7.827125231639133E-10,-2.1023292694219604,44.08217755079603,CTNNB1;MAPK1;JUN;MAPK3;SMAD4;SMAD3;SMAD2;MYC;AR;TP53;STAT1;STAT3;ERBB2IP;MAPK14;CDKN2A;JUNB;ATF2;JUND;TRAF6;ABL1;ESR1;PRKDC;REL;NFATC2;NFATC1;CEBPB;SP1
MAPK14,34,461,0.3090909090909091,0.10169865431281712,0.20739225477809198,3.6451624712021274E-9,-2.1804968478848976,42.366759166578134,MAPK1;HNF4A;JUN;MYC;AR;TP53;PML;NR5A1;CSNK2A2;CSNK2A1;RELA;RBL1;JUNB;ARRB1;ATF2;JUND;TRAF6;E2F1;MAX;ESR1;RB1;NCOA1;NFATC1;CREB1;SIN3A;SMAD3;ETS1;SQSTM1;STAT1;STAT3;MAPK14;RUNX1;FOS;ZBTB7A
HIPK2,13,43,0.11818181818181818,0.009485991617030664,0.10869582656478752,2.9209017837078703E-10,-1.7393567343700271,38.185765617499584,PML;SUMO1;RUNX1;CREB1;CREBBP;TP53;SMAD2;SKI;UBE2I;SMAD1;HMGA1;EP300;MDM2
CHUK,16,90,0.14545454545454545,0.01985440105890139,0.12560014439564404,2.063792846462435E-9,-1.9011311115614062,38.02018946676697,NFKB1;NFKB2;CTNNB1;MYC;HSP90AA1;RELA;RELB;ESR1;TP53;ARRB1;PIAS1;TUBB;REL;CREBBP;IKBKE;NCOR2
ATM,19,177,0.17272727272727273,0.039046988749172735,0.1336802839781,1.0532148720451396E-7,-1.8998444611143988,30.52337299867162,CTNNB1;EP300;HIF1A;JUN;NFE2L2;SRF;ATF2;BRCA1;ABL1;E2F1;NFKB2;HSP90AA1;TP53;HMGA1;MDM2;PRKDC;CREB1;ERBB2IP;SP1
AKT1,22,256,0.2,0.05647474078976395,0.14352525921023607,3.497151691341544E-7,-1.9366695810639944,28.790814326670066,CTNNB1;PIAS2;CREBBP;SMAD4;SMAD3;SKI;SMAD2;AR;STAT1;GATA2;CSNK2A1;EP300;BRCA1;DNMT1;HSP90AA1;ESR1;ESR2;CDK2;MDM2;PRKDC;NFATC2;CREB1
TAF1,11,42,0.1,0.009265387160820648,0.09073461283917936,2.6427658867302247E-8,-1.601395599139565,27.942519111976758,TBP;FOS;TAF4;RELA;CREB1;RBL1;TP53;RB1;GTF2B;JUN;MDM2
RPS6KA5,10,37,0.09090909090909091,0.00816236487977057,0.08274672602932034,9.177603288791148E-8,-1.6357388316720831,26.505372423109815,SRF;ATF2;CEBPB;CREB1;RELA;CREBBP;MAPK11;STAT1;STAT3;EP300
CSNK2A1,32,521,0.2909090909090909,0.11493492168541805,0.17597416922367284,7.301161077744857E-7,-1.7528106185881211,24.76732317713429,CTNNB1;MAPK1;JUN;SPI1;MYC;TP53;PML;CSNK2A1;RELA;HIF1A;ATF2;HDAC3;HDAC2;HDAC1;MAX;ESR1;HMGA1;NFATC1;CREB1;PIAS1;CREBBP;NCOR2;NFKB1;STAT1;MAPK14;SRF;BRCA1;FOS;EGR1;HSP90AA1;MDM2;SP1
MAP3K8,11,54,0.1,0.011912640635340834,0.08808735936465917,2.44606990851327E-7,-1.5090591169768028,22.973332041307113,NFKB1;NFKB2;HSP90AA1;RELA;MAPK1;MAPK3;REL;TRAF6;HSPA8;CREB1;ABL1
PRKDC,18,227,0.16363636363636364,0.050077211559673505,0.11355915207669012,1.3564667355334745E-5,-1.3306204862839435,14.913650475205396,JUN;MAPK8;NFKB1;NFKB2;TP53;ERBB2IP;RELA;RELB;NFE2L2;SRF;BRCA1;ABL1;E2F1;HSP90AA1;HMGA1;MDM2;PRKDC;SP1
MAPK9,15,162,0.13636363636363635,0.0357379219060225,0.10062571445761385,1.42173796308056E-5,-1.2805516072109917,14.292294655949442,CTNNB1;JUN;MAPK8;ATF2;JUND;SMAD3;SMAD2;DNMT1;FOS;MYC;TP53;RB1;HMGA1;NFATC2;STAT3
CDK4,9,51,0.08181818181818182,0.011250827266710787,0.07056735455147103,9.119314007665234E-6,-1.2049656820543275,13.983766486334076,MYOD1;CDKN2A;MYC;RBL1;RB1;CEBPA;SMAD3;SMAD2;BRCA1
IKBKB,11,87,0.1,0.019192587690271344,0.08080741230972865,1.5907056355708493E-5,-1.1299675171930124,12.484726064549104,NFKB1;NFKB2;CTNNB1;FOS;CDKN2A;HSP90AA1;RELA;UBB;TUBB;REL;HSPA8
MAPKAPK5,7,20,0.06363636363636363,0.004412089124200309,0.05922427451216332,2.0780391140659183E-6,-0.8834866586838591,11.559615282946103,TP53;MAPK11;ATF2;MAPK1;MAPK13;MAPK14;JUN
CHEK1,8,35,0.07272727272727272,0.00772115596735054,0.06500611675992218,5.593415862119762E-6,-0.946774942807188,11.45022078636509,E2F1;E2F3;HSP90AA1;RELA;TP53;SMAD4;RB1;UBB
CSNK2A2,19,267,0.17272727272727273,0.05890138980807412,0.11382588291919861,3.194443089201791E-5,-1.0973653676861508,11.359391539389526,UTRN;CTNNB1;SIN3A;JUN;MAPK3;CREBBP;MYC;TP53;RELA;ATF2;HDAC2;HDAC1;FOS;MAX;EGR1;HSP90AA1;ESR1;HMGA1;SP1
CDK7,8,31,0.07272727272727272,0.006838738142510479,0.06588853458476225,2.567814548048987E-6,-0.8654280408136327,11.140183849698362,E2F1;AR;ESR1;TP53;SMAD1;CDK2;BRCA1;NR5A1
IRAK1,8,39,0.07272727272727272,0.008603573792190603,0.06412369893508212,1.1210397519366787E-5,-0.9235944616665617,10.527747429808887,SUMO1;SQSTM1;TRAF6;HSP90AA1;STAT3;MAPK14;JUN;UBB
CDK9,8,38,0.07272727272727272,0.008382969335980588,0.06434430339129213,9.487300847376043E-6,-0.8210330432190052,9.49570397296351,NFKB1;AR;RELA;SKP2;TP53;SMAD3;RB1;SMAD1
IKBKE,9,60,0.08181818181818182,0.013236267372600927,0.06858191444558089,2.925848866823216E-5,-0.8751432615328575,9.135918769538247,NFKB1;HSP90AA1;RELA;ESR1;TUBB;REL;HSPA8;STAT1;IKBKE
MAP3K7,11,102,0.1,0.022501654533421574,0.07749834546657844,6.128049500401453E-5,-0.7684995539444297,7.454483295020462,RELA;MAPK8;TUBB;TRAF6;SMAD3;HDAC4;FOS;HSP90AA1;UBB;HSPA8;STAT3
CDK2,30,606,0.2727272727272727,0.13368630046326935,0.13904097226400336,1.0853316207745484E-4,-0.7534953879849215,6.878248584007072,SKP2;JUN;MYC;TP53;CSNK2A1;RBL1;EP300;ATF2;E2F1;ESR1;RB1;HMGA1;CDK2;NCOA1;NFYA;NFATC2;CEBPA;CEBPB;SIN3A;CREBBP;SMAD4;SMAD3;SMAD2;SQSTM1;STAT3;MYOD1;RUNX1;BRCA1;FOS;MDM2
GSK3A,8,44,0.07272727272727272,0.009706596073240679,0.06302067665403205,2.4312283458573142E-5,-0.6122215321533498,6.504565326799641,CTNNB1;BCL3;MYC;NFATC1;CEBPA;CREB1;TP53;JUN
ATR,9,63,0.08181818181818182,0.013898080741230973,0.06792010107695085,4.141106043306048E-5,-0.5798342695259825,5.851665734767544,E2F1;CDKN2A;TP53;MDM2;PML;PRKDC;CREB1;BRCA1;SP1
ABL1,13,151,0.11818181818181818,0.03331127288771233,0.08487054529410584,1.1139980946442871E-4,-0.5839680340956773,5.3155018394877755,MYOD1;CTNNB1;EP300;JUN;TRAF6;BRCA1;ABL1;TP53;ESR1;RB1;MDM2;CEBPB;CREB1
CDK1,28,567,0.2545454545454545,0.12508272667107875,0.12946272787437577,2.0653267630409632E-4,-0.48771100727553984,4.13825321835723,MAPK8;ELF1;MYC;AR;TP53;NR5A1;CSNK2A1;TUBB;JUND;ABL1;E2F1;E2F3;ESR1;RB1;HMGA1;NCOA1;NFATC2;CEBPA;CEBPB;NCOR2;SQSTM1;ERBB2IP;MYOD1;RUNX1;SREBF1;BRCA1;DNMT1;ZBTB7A
RPS6KA4,6,10,0.05454545454545454,0.0022060445621001545,0.05233940998335439,1.0186872693810155E-6,-0.2299585927845813,3.17273772740647,MAPK1;FOS;MAPK14;CREB1;RELA;MAPK3
MAP2K3,6,20,0.05454545454545454,0.004412089124200309,0.05013336542125423,2.4135920570447266E-5,-0.182086913941874,1.9359133536188997,SMAD4;SMAD3;SMAD2;SMAD1;MAPK14;MAPK3
RPS6KA1,9,75,0.08181818181818182,0.01654533421575116,0.06527284760243066,1.4129571862406322E-4,-0.196697279612126,1.743653635048657,FOS;ESR1;ESR2;MAPK1;MAPK3;SRF;CEBPB;CREB1;CREBBP
MAP2K1,7,39,0.06363636363636363,0.008603573792190603,0.05503278984417303,8.639094551580975E-5,-0.17025740581858978,1.5930351568442982,MYOD1;TRAF6;MYC;MAPK1;EP300;MAPK14;MAPK3
MAP3K1,11,139,0.1,0.030664019413192148,0.06933598058680786,7.527038347559231E-4,-0.1510090288806083,1.0860325811648885,MAPK1;MAPK8;TUBB;HSP90AA1;ESR1;UBE2I;UBC;UBB;USP9X;HSPA8;STAT3
PRKCD,11,146,0.1,0.032208250606662256,0.06779174939333775,0.0011006008169462394,-0.13179110614157655,0.8977477108646605,MAPK1;EP300;MAPK3;MAPK8;NFE2L2;CREBBP;HSP90AA1;TP53;PRKDC;STAT1;STAT3
RPS6KA3,19,365,0.17272727272727273,0.08052062651665563,0.0922066462106171,0.0014628584244888434,-0.02886629542545466,0.18842078675325286,MAPK1;HNF4A;MAPK3;CREBBP;SMAD3;SMAD2;AR;TP53;STAT3;SRF;HDAC4;E2F1;FOS;ESR1;MDM2;REL;NFATC2;CEBPB;CREB1
MAPKAPK2,7,40,0.06363636363636363,0.008824178248400618,0.05481218538796301,9.954754141475836E-5,0.016699865542647144,-0.15388717724556047,SRF;CREB1;ESR1;TP53;NCOA1;MAPK14;MDM2
PRKCZ,9,104,0.08181818181818182,0.022942863445841608,0.05887531837234021,0.0012929464329212346,0.11090066702738781,-0.7375816616775206,RELA;MAPK1;MAPK3;TRAF6;CREBBP;SQSTM1;NFATC2;STAT3;SP1
ALK,6,25,0.05454545454545454,0.005515111405250386,0.04903034314020416,7.008399868200576E-5,0.12334188736418127,-1.1798658062968732,HSP90AA1;RELA;TP53;STAT3;SFPQ;MDM2
PTK2B,1,70,0.00909090909090909,0.01544231193470108,-0.00635140284379199,0.8201209728629949,9.366376125967609,-1.8573844349268498,STAT3
